Model,Precision,Recall,F1-Score,ROC-AUC
logistic_regression,0.2583505154639175,0.6249376558603491,0.36557257476294674,0.8204607609392307
decision_tree,0.24731182795698925,0.24089775561097257,0.24406265790803436,0.5942533289922185
random_forest,0.41604154645124064,0.3596009975062344,0.3857677902621723,0.842293418088998
